Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12-08-2002,28.79,29.74,28.79,29.52,212976.00,0.00,0.00
13-08-2002,29.56,30.03,28.91,29.12,153576.00,0.00,0.00
14-08-2002,29.18,29.18,26.56,27.11,822776.00,0.00,0.00
15-08-2002,27.11,27.11,27.11,27.11,0.00,0.00,0.00
16-08-2002,26.97,28.26,26.58,27.05,811856.00,0.00,0.00
19-08-2002,27.27,27.27,26.13,26.38,205880.00,0.00,0.00
20-08-2002,26.56,28.79,26.39,27.11,3773624.00,0.00,0.00
21-08-2002,28.61,29.15,27.16,28.44,3011064.00,0.00,0.00
22-08-2002,29.38,30.91,29.23,29.67,6732480.00,0.00,0.00
23-08-2002,29.93,32.44,29.57,31.45,4841672.00,0.00,0.00
26-08-2002,31.95,32.16,31.09,31.34,2576912.00,0.00,0.00
27-08-2002,31.60,32.90,30.30,30.56,3694224.00,0.00,0.00
28-08-2002,30.47,30.93,29.96,30.59,1674960.00,0.00,0.00
29-08-2002,30.40,31.14,30.30,30.59,1236544.00,0.00,0.00
30-08-2002,30.68,33.55,30.67,32.75,3762384.00,0.00,0.00
02-09-2002,33.27,34.18,32.75,33.09,2389568.00,0.00,0.00
03-09-2002,33.27,33.41,31.23,31.54,986784.00,0.00,0.00
04-09-2002,31.14,32.53,30.77,32.22,1449856.00,0.00,0.00
05-09-2002,33.21,33.36,31.60,32.03,1061360.00,0.00,0.00
06-09-2002,32.16,32.16,30.50,30.84,907472.00,0.00,0.00
09-09-2002,29.37,31.74,29.37,30.44,880848.00,0.00,0.00
10-09-2002,30.44,30.44,30.44,30.44,0.00,0.00,0.00
11-09-2002,30.61,31.75,30.61,31.21,635936.00,0.00,0.00
12-09-2002,31.59,32.14,31.15,31.37,781968.00,0.00,0.00
13-09-2002,30.27,31.40,30.22,30.48,338264.00,0.00,0.00
16-09-2002,30.76,30.93,29.65,29.88,288592.00,0.00,0.00
17-09-2002,30.42,30.95,30.32,30.76,462952.00,0.00,0.00
18-09-2002,30.58,30.67,29.56,29.81,315432.00,0.00,0.00
19-09-2002,29.56,30.54,29.18,29.56,490848.00,0.00,0.00
20-09-2002,28.50,29.50,28.38,29.07,501072.00,0.00,0.00
23-09-2002,29.28,29.35,28.46,28.58,248504.00,0.00,0.00
24-09-2002,28.48,28.48,27.31,27.61,267912.00,0.00,0.00
25-09-2002,26.97,28.07,26.77,27.83,379544.00,0.00,0.00
26-09-2002,28.40,28.71,28.07,28.26,178136.00,0.00,0.00
27-09-2002,28.17,29.00,28.17,28.61,206288.00,0.00,0.00
30-09-2002,28.17,28.61,26.97,27.57,202232.00,0.00,0.00
01-10-2002,27.70,28.07,26.86,27.33,240192.00,0.00,0.00
02-10-2002,27.33,27.33,27.33,27.33,0.00,0.00,0.00
03-10-2002,27.70,29.56,27.70,28.07,673264.00,0.00,0.00
04-10-2002,28.44,28.52,27.60,27.89,258296.00,0.00,0.00
07-10-2002,28.08,28.26,27.53,27.77,110976.00,0.00,0.00
08-10-2002,27.86,28.79,27.70,28.52,227352.00,0.00,0.00
09-10-2002,28.63,29.08,27.56,27.80,277040.00,0.00,0.00
10-10-2002,28.63,28.63,27.24,27.83,173224.00,0.00,0.00
11-10-2002,28.61,28.95,28.34,28.41,192536.00,0.00,0.00
14-10-2002,28.94,29.00,27.94,28.21,152744.00,0.00,0.00
15-10-2002,28.21,28.21,28.21,28.21,0.00,0.00,0.00
16-10-2002,31.81,31.81,28.09,28.26,247760.00,0.00,0.00
17-10-2002,28.44,28.44,27.90,28.26,144512.00,0.00,0.00
18-10-2002,28.81,29.69,28.47,28.86,512312.00,0.00,0.00
21-10-2002,29.54,30.29,29.18,29.31,646296.00,0.00,0.00
22-10-2002,29.56,29.56,28.07,28.25,229384.00,0.00,0.00
23-10-2002,28.44,28.78,27.90,28.12,153320.00,0.00,0.00
24-10-2002,28.42,28.52,27.44,27.62,168744.00,0.00,0.00
25-10-2002,27.14,27.58,26.97,27.06,172296.00,0.00,0.00
28-10-2002,26.86,27.14,26.43,26.66,134504.00,0.00,0.00
29-10-2002,26.58,27.10,26.43,26.89,143024.00,0.00,0.00
30-10-2002,27.14,27.84,26.95,27.34,164320.00,0.00,0.00
31-10-2002,27.51,27.88,27.36,27.77,118928.00,0.00,0.00
01-11-2002,27.90,28.37,27.33,27.48,108792.00,0.00,0.00
04-11-2002,27.88,27.88,27.47,27.69,56560.00,0.00,0.00
05-11-2002,27.43,27.75,27.21,27.39,70288.00,0.00,0.00
06-11-2002,27.39,27.39,27.39,27.39,0.00,0.00,0.00
07-11-2002,27.88,29.37,27.88,28.24,204880.00,0.00,0.00
08-11-2002,27.70,28.06,27.53,27.74,77664.00,0.00,0.00
11-11-2002,27.88,27.88,27.27,27.33,66568.00,0.00,0.00
12-11-2002,27.14,27.88,27.14,27.47,106864.00,0.00,0.00
13-11-2002,27.60,27.68,27.08,27.23,106264.00,0.00,0.00
14-11-2002,27.66,28.18,27.24,27.60,211856.00,0.00,0.00
15-11-2002,28.22,28.38,27.88,28.20,154144.00,0.00,0.00
18-11-2002,28.44,28.80,28.13,28.49,217672.00,0.00,0.00
19-11-2002,28.49,28.49,28.49,28.49,0.00,0.00,0.00
20-11-2002,28.44,29.65,28.44,29.43,406128.00,0.00,0.00
21-11-2002,29.97,33.26,29.97,31.97,2664024.00,0.00,0.00
22-11-2002,30.77,33.59,30.77,31.48,1184016.00,0.00,0.00
25-11-2002,31.79,32.12,31.04,31.42,428920.00,0.00,0.00
26-11-2002,31.69,32.31,31.06,31.24,367496.00,0.00,0.00
27-11-2002,31.79,31.79,30.40,30.58,301128.00,0.00,0.00
28-11-2002,30.88,32.51,30.87,31.82,447680.00,0.00,0.00
29-11-2002,31.82,31.82,31.82,31.82,0.00,0.00,0.00
02-12-2002,33.37,36.43,33.07,35.24,1388680.00,0.00,0.00
03-12-2002,36.06,38.98,34.78,37.25,4082608.00,0.00,0.00
04-12-2002,36.60,38.06,35.51,36.01,2594928.00,0.00,0.00
05-12-2002,35.78,38.00,35.78,36.92,1720264.00,0.00,0.00
06-12-2002,37.55,38.42,36.91,37.88,1139968.00,0.00,0.00
09-12-2002,37.74,38.46,35.71,36.06,975768.00,0.00,0.00
10-12-2002,35.41,37.55,35.15,36.89,837808.00,0.00,0.00
11-12-2002,37.92,40.14,37.74,38.63,3286400.00,0.00,0.00
12-12-2002,38.66,40.15,38.66,38.94,2568024.00,0.00,0.00
13-12-2002,39.41,39.91,38.87,39.10,1112288.00,0.00,0.00
16-12-2002,39.59,39.91,37.20,37.42,1231456.00,0.00,0.00
17-12-2002,38.13,38.13,36.36,36.73,855656.00,0.00,0.00
18-12-2002,37.14,37.72,36.14,36.39,618096.00,0.00,0.00
19-12-2002,37.12,40.43,36.71,39.46,3770256.00,0.00,0.00
20-12-2002,39.97,40.86,39.04,39.79,2952072.00,0.00,0.00
23-12-2002,39.97,39.98,38.11,38.38,1277744.00,0.00,0.00
24-12-2002,38.48,40.15,38.34,39.96,1729840.00,0.00,0.00
25-12-2002,39.96,39.96,39.96,39.96,0.00,0.00,0.00
